resource,出现次数,平均relevance,平均actionability,代表性证据,note_url
GitHub,25,2.8,2.8,Agent学习路线 路线参考Github上的：lasywolf/Learn-OpenClaw,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
Claude Code,18,2.8,2.7,你以为Agent、MCP、Skill、Claude Code、OpenClaw是5个并列概念？它们其实是一栋楼的不同层！,https://www.xiaohongshu.com/explore/69dee883000000001a02e821?xsec_token=ABkgE-D9gv6c29MmvkPFTaUCuJBZKinncpDhoun5BEOs4=&xsec_source=pc_search
小红书,16,3.0,2.8,劝各位AI一句…能当老公就别当苦力,https://www.xiaohongshu.com/explore/69aacf86000000002800885b?xsec_token=ABZvwqs1HZMFLjiWaJlXpUOSWTiDjOIereR_NoI5Po-vs=&xsec_source=pc_search
B站,10,3.5,3.4,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
Python,10,2.8,2.8,它的灵感来源于 Claude Code 泄露的源码，它使用了极简的 1400 行 python 代码实现了 Claude Code 的核心功能。,https://www.xiaohongshu.com/explore/6a08113f0000000036033bf2?xsec_token=ABnb6hZyFo1Bgmz3nbAiOzHsBDkl-yiuncSRn807AFhYw=&xsec_source=pc_search
RAG,9,3.9,3.8,高学历低能力零基础如何找到Agent开发实习 这期给大家整理了下我的学习路径和经历！,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
Claude,6,1.7,1.3,"我拿""磨刀不误砍柴工""当借口，AI Agent玩儿的不亦乐乎。",https://www.xiaohongshu.com/explore/69ca7415000000002103a9bd?xsec_token=ABaepsnBqiEJOIuZ7ptUVCBUa6JuJKAv_YddTR41Rmdyg=&xsec_source=pc_search
Agent,6,2.2,2.2,你以为Agent、MCP、Skill、Claude Code、OpenClaw是5个并列概念？它们其实是一栋楼的不同层！,https://www.xiaohongshu.com/explore/69dee883000000001a02e821?xsec_token=ABkgE-D9gv6c29MmvkPFTaUCuJBZKinncpDhoun5BEOs4=&xsec_source=pc_search
火山引擎,5,2.8,2.4,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
码市,5,1.8,2.4,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
hello-agent,5,3.6,3.8,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
Smolagents,5,3.2,3.0,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Mimo,5,2.2,1.8,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
ChatGPT,4,2.0,2.2,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
